0.0, 0.0
0.01, 0.0
0.021, 0.0
0.032, 0.0
0.043, 0.0
0.054, 0.0
0.065, 0.0
0.074, 0.0
0.075, 1.8
0.085, 1.8
0.086, 0.0
0.096, 0.0
0.106, 0.0
0.116, 0.0
0.117, 1.8
0.127, 1.8
0.128, 0.0
0.137, 0.0
0.138, 1.8
0.148, 1.8
0.159, 1.8
0.169, 1.8
0.17, 0.0
0.18, 0.0
0.191, 0.0
0.201, 0.0
0.202, 1.8
0.212, 1.8
0.213, 0.0
0.222, 0.0
0.223, 1.8
0.234, 1.8
0.245, 1.8
0.254, 1.8
0.255, 0.0
0.264, 0.0
0.265, 1.8
0.276, 1.8
0.286, 1.8
0.296, 1.8
0.306, 1.8
0.316, 1.8
0.326, 1.8
0.336, 1.8
0.337, 0.0
0.347, 0.0
0.358, 0.0
0.368, 0.0
0.369, 1.8
0.379, 1.8
0.38, 0.0
0.389, 0.0
0.39, 1.8
0.4, 1.8
0.411, 1.8
0.421, 1.8
0.422, 0.0
0.432, 0.0
0.433, 1.8
0.444, 1.8
0.455, 1.8
0.465, 1.8
0.475, 1.8
0.486, 1.8
0.496, 1.8
0.506, 1.8
0.507, 0.0
0.517, 0.0
0.518, 1.8
0.528, 1.8
0.539, 1.8
0.55, 1.8
0.561, 1.8
0.572, 1.8
0.583, 1.8
0.594, 1.8
0.604, 1.8
0.615, 1.8
0.626, 1.8
0.636, 1.8
0.647, 1.8
0.658, 1.8
0.668, 1.8
0.678, 1.8
0.679, 0.0
0.69, 0.0
0.701, 0.0
0.711, 0.0
0.712, 1.8
0.722, 1.8
0.723, 0.0
0.732, 0.0
0.733, 1.8
0.744, 1.8
0.755, 1.8
0.765, 1.8
0.766, 0.0
0.776, 0.0
0.777, 1.8
0.788, 1.8
0.799, 1.8
0.81, 1.8
0.821, 1.8
0.832, 1.8
0.843, 1.8
0.853, 1.8
0.854, 0.0
0.864, 0.0
0.865, 1.8
0.875, 1.8
0.886, 1.8
0.897, 1.8
0.908, 1.8
0.919, 1.8
0.93, 1.8
0.941, 1.8
0.952, 1.8
0.963, 1.8
0.974, 1.8
0.984, 1.8
0.995, 1.8
1.005, 1.8
1.016, 1.8
1.026, 1.8
1.027, 0.0
1.037, 0.0
1.038, 1.8
1.049, 1.8
1.06, 1.8
1.071, 1.8
1.082, 1.8
1.092, 1.8
1.103, 1.8
1.114, 1.8
1.125, 1.8
1.135, 1.8
1.146, 1.8
1.157, 1.8
1.168, 1.8
1.179, 1.8
1.19, 1.8
1.201, 1.8
1.212, 1.8
1.223, 1.8
1.234, 1.8
1.245, 1.8
1.256, 1.8
1.266, 1.8
1.277, 1.8
1.287, 1.8
1.298, 1.8
1.309, 1.8
1.319, 1.8
1.329, 1.8
1.34, 1.8
1.351, 1.8
1.362, 1.8
